bizdate,daypower,totalpower
20160705,352929.23,42820069.89
20160706,348511.13,43168581.02
20160707,342777.8,43511358.82
20160708,401138.89,43912497.71
20160709,371925.44,44284423.15
20160710,375931.18,44660354.33
20160711,399685.27,45060039.6
20160712,402174.85,45462214.45
20160713,401082.27,45863296.72
20160714,396510.19,46259806.91
20160715,381973.31,46641780.22
20160716,369454.64,47011234.86
20160717,378156.17,47389391.03
20160718,406006.7,47795397.73
20160719,398715.96,48194113.69
20160720,357805.17,48551918.86
20160721,393181.03,48945099.89
20160722,434978.64,49380078.53
20160723,445606.75,49825685.28
20160724,444652.77,50270338.05
20160725,468773.65,50739111.7
20160726,465910.9,51205022.6
20160727,462063.98,51667086.58
20160728,458583.2,52125669.78
20160729,460440.13,52586109.91
20160730,447843.22,53033953.13
20160731,426157.15,53460110.28
20160801,440537.97,53900648.25
20160802,423388.15,54324036.4
20160803,420467.85,54744504.25
20160804,420843.86,55165348.11
20160805,426806.71,55592154.82
20160806,411657.24,56003812.06
20160807,410083.94,56413896
20160808,420134.16,56834030.16
20160809,434881.39,57268911.55
20160810,456134.86,57725046.41
20160811,458781.9,58183828.31
20160812,470419.88,58654248.19
20160813,460898.97,59115147.16
20160814,442968.37,59558115.53
20160815,464578.53,60022694.06
20160816,460982.48,60483676.54
20160817,457689.6,60941366.14
20160818,462626.7,61403992.84
20160819,486227.57,61890220.41
20160820,457062.62,62347283.03
20160821,441269.18,62788552.21
20160822,463690.44,63252242.65
20160823,479558.43,63731801.08
20160824,482561.03,64214362.11
20160825,490966.03,64705328.14
20160826,448543.6,65153871.74
20160827,432768.63,65586640.37
20160828,432042.84,66018683.21
20160829,376825,66395508.21
20160830,465738.3,66861246.51
20160831,459362.85,67320609.36
20160901,466175.01,67786784.37
20160902,478667.19,68265451.56
20160903,468382.94,68733834.5
20160904,448017.25,69181851.75
20160905,460662.08,69642513.83
20160906,454950.68,70097464.51
20160907,446610.04,70544074.55
20160908,465281.21,71009355.76
20160909,483976.89,71493332.65
20160910,464461.32,71957793.97
